,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
2934,AdaGrad,128,2,sigmoid,Huber,MeanAbsolutePercentageError,83.28394317626953,-4.736511315306055
2935,AdaGrad,128,2,sigmoid,Huber,MAE,17.069246292114258,-4.16766440394144
2936,AdaGrad,128,2,sigmoid,Huber,MSE,370.7321472167969,-4.2941202207388685
2937,AdaGrad,128,2,sigmoid,LogCosh,MeanAbsolutePercentageError,77.14403533935547,-4.229184146701453
2938,AdaGrad,128,2,sigmoid,LogCosh,MAE,18.811969757080078,-5.036969103442693
2939,AdaGrad,128,2,sigmoid,LogCosh,MSE,378.5458679199219,-4.405702012579716
2940,AdaGrad,128,3,linear,MAE,MeanAbsolutePercentageError,95.07747650146484,-5.161604957787639
2941,AdaGrad,128,3,linear,MAE,MAE,19.18292999267578,-5.110565839970367
2942,AdaGrad,128,3,linear,MAE,MSE,416.22802734375,-4.943810011326053
2943,AdaGrad,128,3,linear,MSE,MeanAbsolutePercentageError,103.71585845947266,-4.623167767409601
2944,AdaGrad,128,3,linear,MSE,MAE,18.82932472229004,-4.531083465676081
2945,AdaGrad,128,3,linear,MSE,MSE,397.9788818359375,-4.683208656437502
2946,AdaGrad,128,3,linear,Huber,MeanAbsolutePercentageError,90.50289154052734,-5.285324306497122
2947,AdaGrad,128,3,linear,Huber,MAE,19.271820068359375,-5.056941917437449
2948,AdaGrad,128,3,linear,Huber,MSE,430.1176452636719,-5.1421560366648995
2949,AdaGrad,128,3,linear,LogCosh,MeanAbsolutePercentageError,93.14462280273438,-5.061096453685684
2950,AdaGrad,128,3,linear,LogCosh,MAE,19.567947387695312,-5.096677217722158
2951,AdaGrad,128,3,linear,LogCosh,MSE,445.179931640625,-5.357248266685504
2952,AdaGrad,128,3,elu,MAE,MeanAbsolutePercentageError,77.2571029663086,-3.4298890842019736
2953,AdaGrad,128,3,elu,MAE,MAE,17.228111267089844,-3.9667003989991674
2954,AdaGrad,128,3,elu,MAE,MSE,333.874755859375,-3.767790751136343
2955,AdaGrad,128,3,elu,MSE,MeanAbsolutePercentageError,73.69296264648438,-2.2991916406307187
2956,AdaGrad,128,3,elu,MSE,MAE,14.293971061706543,-2.3940396564689768
2957,AdaGrad,128,3,elu,MSE,MSE,247.89573669433594,-2.5399950480709874
2958,AdaGrad,128,3,elu,Huber,MeanAbsolutePercentageError,75.40023803710938,-3.6809358031828374
2959,AdaGrad,128,3,elu,Huber,MAE,17.663576126098633,-4.159872737093112
2960,AdaGrad,128,3,elu,Huber,MSE,339.7342529296875,-3.85146507221358
2961,AdaGrad,128,3,elu,LogCosh,MeanAbsolutePercentageError,84.18365478515625,-3.7068563594137993
2962,AdaGrad,128,3,elu,LogCosh,MAE,16.392580032348633,-3.610285898696148
2963,AdaGrad,128,3,elu,LogCosh,MSE,373.0816955566406,-4.327672086574955
2964,AdaGrad,128,3,relu,MAE,MeanAbsolutePercentageError,43.13154602050781,-0.5667368614273833
2965,AdaGrad,128,3,relu,MAE,MAE,10.39002513885498,-1.1493848830769515
2966,AdaGrad,128,3,relu,MAE,MSE,184.5732879638672,-1.6357391557679017
